parent_name,utility_name,respondent_id,year,FERC_class,original_cost,accum_depr,net_plant_balance,ARC,ARC_accum_depr,net_ARC
Southern Co.,Alabama Power Co.,2,2009,other_fossil,791105762.0,136268470.0,654837292.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2009,steam,5592987064.0,2101791128.268204,3491195935.7317963,2284530.0,495105.731796373,1789424.268203627
Southern Co.,Alabama Power Co.,2,2009,transmission,2702478082.0,911203184.908099,1791274897.0919008,85444.0,14571.09190100276,70872.90809899724
Southern Co.,Alabama Power Co.,2,2008,distribution,4825109845.0,1706434850.0789,3118674994.9210997,1742928.0,283459.9211001705,1459468.0788998294
Southern Co.,Alabama Power Co.,2,2008,general,1013723024.0,469479039.7000908,544243984.2999091,1028373.0,174404.29990920977,853968.7000907902
Southern Co.,Alabama Power Co.,2,2008,hydro,961291553.0,357790113.11747485,603501439.8825252,4529.0,343.8825251205909,4185.117474879409
Southern Co.,Alabama Power Co.,2,2008,intangible,59442052.0,,59442052.0,,,
Southern Co.,Alabama Power Co.,2,2008,nuclear,2228171641.0,1374415762.6370287,853755878.3629713,24802594.0,26480578.362971187,-1677984.3629711866
Southern Co.,Alabama Power Co.,2,2008,other_fossil,750294317.0,142042695.0,608251622.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2008,steam,5128744951.0,1937609747.3593984,3191135203.6406016,2339122.0,373943.6406014452,1965178.3593985548
Southern Co.,Alabama Power Co.,2,2008,transmission,2559924524.0,858660789.6810743,1701263734.3189259,85444.0,10928.31892575207,74515.68107424793
Southern Co.,Alabama Power Co.,2,2007,distribution,4584261206.0,1618977698.6256542,2965283507.374346,1773926.0,191166.37434569007,1582759.62565431
Southern Co.,Alabama Power Co.,2,2007,general,970023277.0,437876728.4258564,532146548.5741436,1006898.0,125992.5741435924,880905.4258564076
Southern Co.,Alabama Power Co.,2,2007,hydro,954014821.0,342044384.74498326,611970436.2550168,4529.0,229.2550167470606,4299.744983252939
Southern Co.,Alabama Power Co.,2,2007,intangible,58834682.0,,58834682.0,,,
Southern Co.,Alabama Power Co.,2,2007,nuclear,2217826925.0,1350565216.4945936,867261708.5054064,99244407.0,21005029.505406454,78239377.49459355
Southern Co.,Alabama Power Co.,2,2007,other_fossil,746184784.0,128830367.0,617354417.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2007,steam,4521094498.0,1833237654.8587773,2687856843.141223,2420377.0,253940.14122269067,2166436.8587773093
Southern Co.,Alabama Power Co.,2,2007,transmission,2435464702.0,810973717.4540495,1624490984.5459504,85444.0,7285.54595050138,78158.45404949861
Southern Co.,Alabama Power Co.,2,2006,distribution,4350622023.0,1526361792.977271,2824260230.022729,1802817.0,96945.02272885753,1705871.9772711424
Southern Co.,Alabama Power Co.,2,2006,general,897723737.0,406424093.5378915,491299643.4621085,1009368.0,76810.46210851913,932557.5378914808
Southern Co.,Alabama Power Co.,2,2006,hydro,950678978.0,326228775.3724916,624450202.6275084,4529.0,114.6275083735303,4414.37249162647
Southern Co.,Alabama Power Co.,2,2006,intangible,58518588.0,,58518588.0,,,
Southern Co.,Alabama Power Co.,2,2006,nuclear,2197067590.0,1330519985.7229135,866547604.2770865,99315007.0,15466577.277086226,83848429.72291377
Southern Co.,Alabama Power Co.,2,2006,other_fossil,739798119.0,105608402.0,634189717.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2006,steam,4322750148.0,1742890582.9629393,2579859565.0370607,2557420.0,135325.03706069407,2422094.962939306
Southern Co.,Alabama Power Co.,2,2006,transmission,2307388584.0,763878403.2270248,1543510180.7729752,85444.0,3642.77297525069,81801.22702474931
Southern Co.,Alabama Power Co.,2,2005,distribution,4108099222.0,1445790748.0,2662308474.0,1810067.0,,1810067.0
Southern Co.,Alabama Power Co.,2,2005,general,884386606.0,389302635.999449,495083970.000551,1008928.0,27341.000550966397,981586.9994490336
Southern Co.,Alabama Power Co.,2,2005,hydro,941427170.0,310790532.0,630636638.0,4529.0,,4529.0
Southern Co.,Alabama Power Co.,2,2005,intangible,58315911.0,,58315911.0,,,
Southern Co.,Alabama Power Co.,2,2005,nuclear,2182645861.0,1299048287.2495768,883597573.7504232,98493791.0,10611200.75042312,87882590.24957688
Southern Co.,Alabama Power Co.,2,2005,other_fossil,720398527.0,84100494.0,636298033.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2005,steam,4025608416.0,1640530344.4472115,2385078071.5527887,2661906.0,7860.552788177172,2654045.447211823
Southern Co.,Alabama Power Co.,2,2005,transmission,2205241988.0,715269965.0,1489972023.0,85444.0,,85444.0
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,distribution,55709878.0,36897471.0,18812407.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,general,18842958.0,10768985.0,8073973.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,hydro,91912621.0,52865473.0,39047148.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,intangible,5974466.0,,5974466.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,other_fossil,49567889.0,21442865.0,28125024.0,,-0.0,
Avista Corp.,Alaska Electric Light & Power Co.,3,2020,transmission,35793376.0,18494716.0,17298660.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,distribution,53765905.0,35891041.0,17874864.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,general,18680700.0,10656011.0,8024689.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,hydro,87330010.0,48269525.0,39060485.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,intangible,5974466.0,,5974466.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,other_fossil,49283407.0,20884557.0,28398850.0,,-0.0,
Avista Corp.,Alaska Electric Light & Power Co.,3,2019,transmission,35040074.0,17642281.0,17397793.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,distribution,51980228.0,34932442.0,17047786.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,general,17328650.0,10313501.0,7015149.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,hydro,87565333.0,42609334.0,44955999.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,intangible,5974466.0,,5974466.0,,,
Avista Corp.,Alaska Electric Light & Power Co.,3,2018,other_fossil,48337055.0,20233027.0,28104028.0,,-0.0,
