parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,100%+,renter,1842.6833686019233,218642485.74207297
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,30-60%,owner,677.1117755689897,31440042.964815773
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,30-60%,renter,852.5518573446111,36030108.67926883
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,60-80%,owner,620.0313249902612,39260064.10158012
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,60-80%,renter,516.0780405589171,30794543.23501229
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,80-100%,owner,1033.7883269323136,78756267.87145908
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,80-100%,renter,505.9522721417301,36511249.685766935
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,0-30%,owner,335.1828226516437,4932196.441047237
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,0-30%,renter,835.848139373342,11620763.242492802
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,100%+,owner,7522.933630620005,1150146505.633785
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,100%+,renter,1831.9708174155674,201476783.98525813
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,30-60%,owner,673.1753453182678,28971673.658988714
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,30-60%,renter,847.595495570013,33201371.630497973
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,60-80%,owner,616.426735390507,36177742.067809574
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,60-80%,renter,513.0777896640301,28376852.34975065
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,80-100%,owner,1027.7783359827988,72573084.39194052
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,80-100%,renter,503.01088801381894,33644738.08008651
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,0-30%,owner,332.26561307121204,5584808.073072758
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,0-30%,renter,828.5734700431057,13158383.52094529
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,100%+,owner,7457.458992371597,1302330020.033859
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,100%+,renter,1816.0265551847115,228135513.9007181
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,30-60%,owner,667.3164723869596,32805108.003118124
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,30-60%,renter,840.2185850217725,37594465.37367105
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,60-80%,owner,611.0617648234312,40964659.12921891
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,60-80%,renter,508.61229996001185,32131581.94032346
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,80-100%,owner,1018.8332331742171,82175710.64826487
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,80-100%,renter,498.6330139629742,38096496.5795623
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,0-30%,owner,329.69026398848723,5025273.925094456
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,0-30%,renter,822.1513010250056,11840063.389647936
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,100%+,owner,7399.657163292918,1171851387.8925626
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,100%+,renter,1801.9507611840336,205278934.2790309
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,30-60%,owner,662.1441861272901,29518409.89000615
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,30-60%,renter,833.7061561784053,33827928.21136833
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,60-80%,owner,606.3255017446844,36860466.9451395
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,60-80%,renter,504.6701098306827,28912363.46603811
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,80-100%,owner,1010.9363846010168,73942640.56949496
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,80-100%,renter,494.7681720274632,34279661.609461814
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,0-30%,owner,325.7246822150875,5018163.387596729
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,0-30%,renter,812.2622974042158,11823310.230325188
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,100%+,owner,7310.652576923991,1170193270.6715765
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,100%+,renter,1780.2765297139658,204988473.7824606
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,30-60%,owner,654.1797807362944,29476642.662283886
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,30-60%,renter,823.6781684018922,33780063.20826551
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,60-80%,owner,599.0324948800661,36808311.03557038
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,60-80%,renter,498.59983476428346,28871453.766858015
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,80-100%,owner,998.7766354706033,73838015.04533698
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,80-100%,renter,488.8169994895963,34231157.423835985
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,0-30%,owner,321.6907283421469,4833030.065104332
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,0-30%,renter,802.202793720998,11387117.038367994
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,100%+,owner,7220.113428721109,1127021745.2698429
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,100%+,renter,1758.2286045978615,197425906.70507252
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,30-60%,owner,646.0780580109708,28389171.336523935
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,30-60%,renter,813.4772842844036,32533827.314231634
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,60-80%,owner,591.6137465177816,35450355.06821548
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,60-80%,renter,492.4248997829456,27806309.460426018
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,80-100%,owner,986.4072354931124,71113935.33813284
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,80-100%,renter,482.7632205286632,32968279.470858417
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,0-30%,owner,318.3404954646196,4948776.1186679
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,0-30%,renter,793.8482906620552,11659826.672055982
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,100%+,owner,7144.919898857701,1154012746.2646792
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,100%+,renter,1739.9176159421115,202154052.25030997
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,30-60%,owner,639.3495086289221,29069062.523187116
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,30-60%,renter,805.00536357666,33312978.70957054
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,60-80%,owner,585.4524131321556,36299354.27602088
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,60-80%,renter,487.2965639509874,28472241.710144415
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,80-100%,owner,976.1343439863838,72817040.27600497
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,80-100%,renter,477.7355057983968,33757835.54440426
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,0-30%,owner,317.064216273181,4535584.889123027
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,0-30%,renter,790.6656228300766,10686305.542107644
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,100%+,owner,7116.274744624021,1057660045.2926446
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,100%+,renter,1732.9420012161136,185275478.7598472
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,30-60%,owner,636.7862517214747,26641981.281753737
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,30-60%,renter,801.7779652118047,30531557.54547986
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,60-80%,owner,583.1052385090594,33268589.807122003
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,60-80%,renter,485.3429122054792,26094991.19850075
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,80-100%,owner,972.2208615076294,66737282.03235268
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,80-100%,renter,475.82018590115257,30939271.67307667
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,0-30%,owner,315.46886728388205,4351641.552840386
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,0-30%,renter,786.6872880401036,10252916.080328437
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,100%+,owner,7080.468301831927,1014766014.6130446
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,100%+,renter,1724.2224828086132,177761521.78901002
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,30-60%,owner,633.582180587166,25561499.923352126
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,30-60%,renter,797.7437172557366,29293332.113895666
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,60-80%,owner,580.1712702301897,31919362.408200156
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,60-80%,renter,482.90084752359456,25036693.347471785
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,80-100%,owner,967.329008409186,64030711.9622155
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,80-100%,renter,473.42603602959696,29684511.15313829
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,0-30%,owner,314.0786345932075,4077077.8861039532
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,0-30%,renter,783.220453437412,9606015.778551849
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,100%+,owner,7049.265544541667,950740089.1160735
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,100%+,renter,1716.624045339223,166545787.53461516
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,30-60%,owner,630.7900614558401,23948715.630110458
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,30-60%,renter,794.2281583225911,27445090.575970814
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,60-80%,owner,577.614526444318,29905433.393995322
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,60-80%,renter,480.7727625865229,23457021.34439729
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,80-100%,owner,963.0661078519723,59990740.64412401
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,80-100%,renter,471.3397054272411,27811588.45752598
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2009,0-30%,owner,313.37212289794667,4254283.404599859
